ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE
279779841,1/1/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,Q,108,0,25-44,M,WHITE HISPANIC
279828917,1/2/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,Q,107,1,25-44,M,WHITE HISPANIC
279845707,1/2/2024,638,"HARASSMENT,SUBD 3,4,5",578,HARRASSMENT 2,PL 2402603,V,M,32,52,25-44,M,WHITE HISPANIC
279807735,1/2/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,K,71,1,25-44,M,WHITE HISPANIC
279813043,1/2/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,K,73,1,25-44,F,BLACK
279884342,1/3/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,K,84,1,18-24,M,WHITE HISPANIC
279912474,1/3/2024,201,"TRESPASS 4,CRIMINAL SUB 2",678,MISCELLANEOUS PENAL LAW,PL 1400500,V,M,14,0,25-44,M,BLACK
279914237,1/4/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,49,1,25-44,M,WHITE HISPANIC
280084386,1/6/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,Q,115,1,25-44,M,WHITE HISPANIC
280050784,1/6/2024,862,"ALCOHOLIC BEVERAGES,PUBLIC CON",675,ADMINISTRATIVE CODE,AC 010125B,V,K,73,1,45-64,M,BLACK
280118341,1/7/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,K,79,0,45-64,M,WHITE
280151753,1/8/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402005,V,M,5,0,18-24,F,WHITE
280160552,1/8/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402005,V,M,5,0,18-24,F,ASIAN / PACIFIC ISLANDER
280151721,1/8/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402005,V,M,5,0,65+,F,WHITE
280149170,1/8/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402005,V,M,5,0,65+,F,WHITE
280145935,1/8/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402005,V,M,5,0,65+,F,WHITE
280289806,1/10/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,41,1,25-44,M,BLACK
280298774,1/10/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402007,V,K,83,1,18-24,M,BLACK
280263910,1/10/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,K,77,1,45-64,M,BLACK
280354128,1/11/2024,477,THEFT OF SERVICES- CABLE TV SE,678,MISCELLANEOUS PENAL LAW,PL 1651504,V,B,52,0,18-24,M,BLACK
280437672,1/13/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,Q,110,1,18-24,M,BLACK
280666132,1/17/2024,904,"INTOXICATED DRIVING,ALCOHOL",119,INTOXICATED/IMPAIRED DRIVING,VTL1192E1C,F,S,123,0,<18,F,WHITE HISPANIC
280715936,1/18/2024,906,"IMPAIRED DRIVING, DRUGS",119,INTOXICATED/IMPAIRED DRIVING,VTL11920E4,F,M,28,0,45-64,M,BLACK
280752515,1/18/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL1192000,M,K,70,0,65+,M,BLACK
280739936,1/18/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,47,1,18-24,M,BLACK
280805059,1/19/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,47,1,45-64,M,BLACK
280805059,1/19/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,47,1,45-64,M,BLACK
281027365,1/24/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402001,V,S,121,0,18-24,M,BLACK
281371968,1/30/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,Q,110,1,18-24,M,WHITE HISPANIC
281624995,2/3/2024,904,"INTOXICATED DRIVING,ALCOHOL",119,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,Q,113,0,65+,M,WHITE HISPANIC
