ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE
283064021,3/1/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200511,F,B,49,0,18-24,M,ASIAN / PACIFIC ISLANDER
283063019,3/1/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,B,49,0,18-24,M,ASIAN / PACIFIC ISLANDER
283031827,3/1/2024,203,"TRESPASS 3, CRIMINAL",352,CRIMINAL TRESPASS,PL 140100A,M,Q,107,0,25-44,M,ASIAN / PACIFIC ISLANDER
283061249,3/1/2024,419,"LARCENY,GRAND FROM PERSON,UNCL",109,GRAND LARCENY,PL 1553005,F,B,41,0,18-24,M,BLACK
283053905,3/1/2024,748,"CONTEMPT,CRIMINAL",359,OFFENSES AGAINST PUBLIC ADMINI,PL 2155006,M,K,69,0,25-44,M,BLACK
283049640,3/1/2024,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,Q,103,0,25-44,F,BLACK
283038775,3/1/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,121,0,25-44,F,BLACK
283061246,3/1/2024,847,"NY STATE LAWS,UNCLASSIFIED FEL",125,OTHER STATE LAWS,VTL05110FE,F,B,48,0,65+,M,BLACK
283059274,3/1/2024,503,"CONTROLLED SUBSTANCE,INTENT TO",117,DANGEROUS DRUGS,PL 2201601,F,B,44,0,25-44,M,BLACK
283072147,3/1/2024,563,PROSTITUTION,356,PROSTITUTION & RELATED OFFENSES,PL 2300000,M,K,75,0,18-24,F,BLACK
283056312,3/1/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,S,121,0,25-44,M,BLACK
283035902,3/1/2024,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,Q,101,0,25-44,M,BLACK
283049597,3/1/2024,515,"CONTROLLED SUBSTANCE,SALE 3",117,DANGEROUS DRUGS,PL 2203901,F,B,40,0,25-44,M,WHITE HISPANIC
283064276,3/1/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,Q,105,0,25-44,M,BLACK
283041259,3/1/2024,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,K,61,0,25-44,M,BLACK
283212527,3/5/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,B,42,0,25-44,M,BLACK HISPANIC
283064045,3/1/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,73,0,25-44,M,BLACK
283204358,3/5/2024,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601503,F,B,40,0,25-44,M,BLACK
283233137,3/5/2024,494,"STOLEN PROPERTY 2,1,POSSESSION",111,POSSESSION OF STOLEN PROPERTY,PL 1654501,F,B,52,0,25-44,M,BLACK HISPANIC
283291495,3/6/2024,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601001,F,B,48,0,<18,M,WHITE HISPANIC
283061289,3/1/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,101,0,45-64,F,BLACK
283064022,3/1/2024,209,"BURGLARS TOOLS,UNCLASSIFIED",231,BURGLAR'S TOOLS,PL 1403500,M,B,43,0,45-64,M,BLACK
283281736,3/6/2024,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,B,52,0,25-44,M,BLACK
283460087,3/9/2024,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601503,F,B,42,0,<18,M,BLACK HISPANIC
283056252,3/1/2024,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,B,52,0,45-64,M,BLACK
283593346,3/12/2024,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,47,0,25-44,M,BLACK
