ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE
279813043,1/2/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,K,73,1,25-44,F,BLACK
279807735,1/2/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,K,71,1,25-44,M,WHITE HISPANIC
280388094,1/12/2024,201,"TRESPASS 4,CRIMINAL SUB 2",678,MISCELLANEOUS PENAL LAW,PL 1400500,V,S,122,0,25-44,M,WHITE
280388094,1/12/2024,201,"TRESPASS 4,CRIMINAL SUB 2",678,MISCELLANEOUS PENAL LAW,PL 1400500,V,S,122,0,25-44,M,WHITE
281027365,1/24/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402001,V,S,121,0,18-24,M,BLACK
284241203,3/24/2024,909,IMPAIRED DRIVING / ALCOHOL,880,MOVING INFRACTIONS,VTL119401B,I,B,43,0,25-44,M,WHITE HISPANIC
287778877,5/31/2024,907,"IMPAIRED DRIVING,DRUG",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U4,M,Q,103,0,25-44,F,WHITE
291172193,8/5/2024,907,"IMPAIRED DRIVING,DRUG",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U4,M,B,40,0,18-24,M,WHITE HISPANIC
292280571,8/26/2024,909,IMPAIRED DRIVING / ALCOHOL,880,MOVING INFRACTIONS,VTL119200A,I,M,25,0,18-24,M,WHITE HISPANIC
293303851,9/14/2024,633,EXPOSURE OF A PERSON,678,MISCELLANEOUS PENAL LAW,PL 2450100,V,S,120,0,25-44,M,WHITE HISPANIC
