ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE
279786342,1/1/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,106,0,45-64,M,ASIAN / PACIFIC ISLANDER
279792793,1/1/2024,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402000,F,B,42,0,25-44,M,BLACK HISPANIC
279766974,1/1/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,60,0,25-44,M,BLACK
279767590,1/1/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,1,0,25-44,M,BLACK
279791332,1/1/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,Q,103,0,45-64,F,BLACK
279769450,1/1/2024,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601001,F,B,48,0,45-64,M,WHITE HISPANIC
279784127,1/1/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,24,0,25-44,M,BLACK
279818311,1/2/2024,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,B,52,0,25-44,M,BLACK
279794633,1/1/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,41,0,25-44,M,BLACK
279846602,1/2/2024,441,"LARCENY,GRAND OF AUTO",110,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,45,0,25-44,M,BLACK HISPANIC
279791321,1/1/2024,268,CRIMINAL MIS 2 & 3,121,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,F,K,70,0,25-44,M,BLACK
